backend,mode,placement,repetition,event,value,operations
cxlmem,cas,cross-numa,0,benchmark.average_ns,63.739,2000000
cxlmem,cas,cross-numa,0,benchmark.p50_ns,0.0,2000000
cxlmem,cas,cross-numa,0,benchmark.p95_ns,0.0,2000000
cxlmem,cas,cross-numa,0,benchmark.p99_ns,0.0,2000000
cxlmem,cas,cross-numa,0,mem_load_l3_hit_retired.xsnp_fwd,116625.0,2000000
cxlmem,cas,cross-numa,0,cxl_pmu_mem0.0/m2s_req_memrd/,49.0,2000000
cxlmem,cas,same-numa,0,benchmark.average_ns,180.366,2000000
cxlmem,cas,same-numa,0,benchmark.p50_ns,0.0,2000000
cxlmem,cas,same-numa,0,benchmark.p95_ns,0.0,2000000
cxlmem,cas,same-numa,0,benchmark.p99_ns,0.0,2000000
cxlmem,cas,same-numa,0,mem_load_l3_hit_retired.xsnp_fwd,189381.0,2000000
cxlmem,cas,same-numa,0,cxl_pmu_mem0.0/m2s_req_memrd/,80.0,2000000
cxlmem,cold-load,same-numa,0,benchmark.average_ns,353.958,1000000
cxlmem,cold-load,same-numa,0,benchmark.p50_ns,344.008,1000000
cxlmem,cold-load,same-numa,0,benchmark.p95_ns,469.012,1000000
cxlmem,cold-load,same-numa,0,benchmark.p99_ns,548.014,1000000
cxlmem,cold-load,same-numa,0,mem_load_retired.local_cxl_mem,999873.0,1000000
cxlmem,cold-load,same-numa,0,cxl_pmu_mem0.0/m2s_req_memrd/,1002180.0,1000000
cxlmem,fetch-add,cross-numa,0,benchmark.average_ns,29.921,2000000
cxlmem,fetch-add,cross-numa,0,benchmark.p50_ns,0.0,2000000
cxlmem,fetch-add,cross-numa,0,benchmark.p95_ns,0.0,2000000
cxlmem,fetch-add,cross-numa,0,benchmark.p99_ns,0.0,2000000
cxlmem,fetch-add,cross-numa,0,mem_load_l3_hit_retired.xsnp_fwd,187278.0,2000000
cxlmem,fetch-add,cross-numa,0,cxl_pmu_mem0.0/m2s_req_memrd/,44.0,2000000
cxlmem,fetch-add,same-numa,0,benchmark.average_ns,33.706,2000000
cxlmem,fetch-add,same-numa,0,benchmark.p50_ns,0.0,2000000
cxlmem,fetch-add,same-numa,0,benchmark.p95_ns,0.0,2000000
cxlmem,fetch-add,same-numa,0,benchmark.p99_ns,0.0,2000000
cxlmem,fetch-add,same-numa,0,mem_load_l3_hit_retired.xsnp_fwd,4275.0,2000000
cxlmem,fetch-add,same-numa,0,cxl_pmu_mem0.0/m2s_req_memrd/,13.0,2000000
cxlmem,handoff,cross-numa,0,benchmark.average_ns,325.308,2000000
cxlmem,handoff,cross-numa,0,benchmark.p50_ns,0.0,2000000
cxlmem,handoff,cross-numa,0,benchmark.p95_ns,0.0,2000000
cxlmem,handoff,cross-numa,0,benchmark.p99_ns,0.0,2000000
cxlmem,handoff,cross-numa,0,mem_load_l3_hit_retired.xsnp_fwd,1997901.0,2000000
cxlmem,handoff,cross-numa,0,cxl_pmu_mem0.0/m2s_req_memrd/,53.0,2000000
cxlmem,handoff,same-numa,0,benchmark.average_ns,261.04,2000000
cxlmem,handoff,same-numa,0,benchmark.p50_ns,0.0,2000000
cxlmem,handoff,same-numa,0,benchmark.p95_ns,0.0,2000000
cxlmem,handoff,same-numa,0,benchmark.p99_ns,0.0,2000000
cxlmem,handoff,same-numa,0,mem_load_l3_hit_retired.xsnp_fwd,3973423.0,2000000
cxlmem,handoff,same-numa,0,cxl_pmu_mem0.0/m2s_req_memrd/,72.0,2000000
cxlmem,message-passing,cross-numa,0,benchmark.average_ns,617.984,1000000
cxlmem,message-passing,cross-numa,0,benchmark.p50_ns,0.0,1000000
cxlmem,message-passing,cross-numa,0,benchmark.p95_ns,0.0,1000000
cxlmem,message-passing,cross-numa,0,benchmark.p99_ns,0.0,1000000
cxlmem,message-passing,cross-numa,0,mem_load_l3_hit_retired.xsnp_fwd,1003666.0,1000000
